date,product_id,product_name,category,warehouse,units_sold,unit_price,revenue,stock_level,reorder_point,supplier_lead_time
2024-01-01,1,Product_1,Industrial,Santiago,8,24118,192944,67,81,5
2024-01-01,2,Product_2,Food,Santiago,3,40773,122319,70,59,9
2024-01-01,3,Product_3,Electronics,Valparaiso,6,6899,41394,60,99,3
2024-01-01,4,Product_4,Industrial,Concepcion,5,6267,31335,79,72,6
2024-01-01,5,Product_5,Industrial,Concepcion,2,36551,73102,53,43,6
2024-01-01,6,Product_6,Food,Santiago,4,16394,65576,102,45,7
2024-01-01,7,Product_7,Electronics,Santiago,7,8556,59892,90,79,9
2024-01-01,8,Product_8,Electronics,Valparaiso,9,8890,80010,93,60,9
2024-01-01,9,Product_9,Industrial,Santiago,7,46606,326242,104,48,13
2024-01-01,10,Product_10,Home,Concepcion,2,35740,71480,99,34,6
2024-01-01,11,Product_11,Industrial,Concepcion,6,19502,117012,99,64,9
2024-01-01,12,Product_12,Industrial,Concepcion,6,26777,160662,112,84,13
2024-01-01,13,Product_13,Industrial,Santiago,4,15627,62508,109,90,5
2024-01-01,14,Product_14,Industrial,Santiago,9,13792,124128,115,28,8
2024-01-01,15,Product_15,Food,Concepcion,4,48323,193292,65,20,14
2024-01-01,16,Product_16,Electronics,Santiago,11,48021,528231,141,27,4
2024-01-01,17,Product_17,Food,Concepcion,3,13433,40299,102,82,12
2024-01-01,18,Product_18,Food,Valparaiso,6,48001,288006,87,30,11
2024-01-01,19,Product_19,Food,Santiago,5,16016,80080,78,27,7
2024-01-01,20,Product_20,Industrial,Valparaiso,4,28897,115588,106,54,8
2024-01-01,21,Product_21,Home,Santiago,5,7612,38060,115,54,14
2024-01-01,22,Product_22,Electronics,Valparaiso,3,28483,85449,125,52,14
2024-01-01,23,Product_23,Home,Santiago,8,22159,177272,138,24,14
2024-01-01,24,Product_24,Food,Valparaiso,2,49974,99948,78,60,14
2024-01-01,25,Product_25,Food,Concepcion,5,45994,229970,92,47,6
2024-01-01,26,Product_26,Home,Concepcion,4,19541,78164,62,26,13
2024-01-01,27,Product_27,Home,Concepcion,4,40920,163680,93,92,12
2024-01-01,28,Product_28,Home,Santiago,9,31531,283779,101,91,9
2024-01-01,29,Product_29,Food,Santiago,2,6585,13170,108,31,14
2024-01-01,30,Product_30,Food,Valparaiso,6,8943,53658,81,53,11
2024-01-01,31,Product_31,Electronics,Concepcion,9,28939,260451,138,52,9
2024-01-01,32,Product_32,Electronics,Concepcion,9,24457,220113,82,67,3
2024-01-01,33,Product_33,Food,Concepcion,1,6021,6021,111,42,3
2024-01-01,34,Product_34,Home,Santiago,8,16653,133224,96,81,11
2024-01-01,35,Product_35,Home,Concepcion,4,48573,194292,109,56,13
2024-01-01,36,Product_36,Electronics,Concepcion,4,18417,73668,150,63,11
2024-01-01,37,Product_37,Food,Santiago,4,45757,183028,52,54,6
2024-01-01,38,Product_38,Electronics,Santiago,6,14692,88152,102,84,11
2024-01-01,39,Product_39,Electronics,Santiago,5,11873,59365,143,66,5
2024-01-01,40,Product_40,Industrial,Santiago,6,10675,64050,42,97,9
2024-01-01,41,Product_41,Industrial,Concepcion,2,5161,10322,102,22,8
2024-01-01,42,Product_42,Industrial,Santiago,4,42065,168260,129,20,10
2024-01-01,43,Product_43,Home,Santiago,5,31557,157785,96,24,13
2024-01-01,44,Product_44,Food,Santiago,4,38763,155052,129,33,11
2024-01-01,45,Product_45,Food,Valparaiso,11,37606,413666,60,46,7
2024-01-01,46,Product_46,Food,Santiago,2,16534,33068,154,28,3
2024-01-01,47,Product_47,Food,Santiago,8,34127,273016,110,98,5
2024-01-01,48,Product_48,Industrial,Concepcion,7,45397,317779,157,34,12
2024-01-01,49,Product_49,Home,Concepcion,4,30851,123404,0,61,14
2024-01-01,50,Product_50,Home,Concepcion,6,6016,36096,91,96,10
2024-01-02,1,Product_1,Industrial,Santiago,10,24118,241180,110,81,5
2024-01-02,2,Product_2,Food,Santiago,8,40773,326184,151,59,9
2024-01-02,3,Product_3,Electronics,Santiago,5,6899,34495,66,99,3
2024-01-02,4,Product_4,Industrial,Santiago,5,6267,31335,114,72,6
2024-01-02,5,Product_5,Industrial,Valparaiso,2,36551,73102,150,43,6
2024-01-02,6,Product_6,Food,Concepcion,4,16394,65576,171,45,7
2024-01-02,7,Product_7,Electronics,Santiago,4,8556,34224,125,79,9
2024-01-02,8,Product_8,Electronics,Concepcion,8,8890,71120,81,60,9
2024-01-02,9,Product_9,Industrial,Concepcion,5,46606,233030,145,48,13
2024-01-02,10,Product_10,Home,Valparaiso,4,35740,142960,26,34,6
2024-01-02,11,Product_11,Industrial,Valparaiso,6,19502,117012,102,64,9
2024-01-02,12,Product_12,Industrial,Concepcion,7,26777,187439,74,84,13
2024-01-02,13,Product_13,Industrial,Concepcion,4,15627,62508,80,90,5
2024-01-02,14,Product_14,Industrial,Santiago,2,13792,27584,85,28,8
2024-01-02,15,Product_15,Food,Concepcion,4,48323,193292,111,20,14
2024-01-02,16,Product_16,Electronics,Santiago,7,48021,336147,97,27,4
2024-01-02,17,Product_17,Food,Valparaiso,4,13433,53732,107,82,12
2024-01-02,18,Product_18,Food,Valparaiso,4,48001,192004,72,30,11
